INEGI. Encuesta Nacional de Trabajo Infantil (ENTI) 2022. Tabulados básicos. 2023.,,,,,,
,,,,,,
"Población total por entidad federativa, según sexo",,,,,,Cuadro 4.1
,,,,,,
Trimestre:  Octubre-Diciembre  2022,,,,,,
,,Población Total en hogares con menores de 5 a 17 años,,,,
,Total,,,Hombre ,,Mujeres
,,,,,,
Nacional,,"78,076,439",,"37,051,789",,"41,024,650"
,,,,,,
Aguascalientes,,"918,688",,"439,286",,"479,402"
Baja California,,"2,180,667",,"1,032,472",,"1,148,195"
Baja California Sur,,"484,513",,"235,289",,"249,224"
Campeche,,"589,256",,"283,361",,"305,895"
Coahuila de Zaragoza,,"2,002,851",,"978,563",,"1,024,288"
Colima,,"430,910",,"208,222",,"222,688"
Chiapas,,"4,026,717",,"1,923,548",,"2,103,169"
Chihuahua,,"2,201,760",,"1,063,125",,"1,138,635"
Ciudad de México,,"4,526,158",,"2,126,979",,"2,399,179"
Durango,,"1,250,141",,"597,207",,"652,934"
Guanajuato,,"4,067,714",,"1,949,448",,"2,118,266"
Guerrero,,"2,454,634",,"1,148,147",,"1,306,487"
Hidalgo,,"1,912,671",,"878,406",,"1,034,265"
Jalisco,,"5,024,179",,"2,406,942",,"2,617,237"
México,,"10,409,306",,"4,903,750",,"5,505,556"
Michoacán de Ocampo,,"3,151,562",,"1,484,306",,"1,667,256"
Morelos,,"1,152,533",,"537,366",,"615,167"
Nayarit,,"764,578",,"367,338",,"397,240"
Nuevo León,,"3,415,861",,"1,644,584",,"1,771,277"
Oaxaca,,"2,667,521",,"1,261,418",,"1,406,103"
Puebla,,"4,364,711",,"2,021,018",,"2,343,693"
Querétaro,,"1,438,397",,"676,575",,"761,822"
Quintana Roo,,"1,153,890",,"554,284",,"599,606"
San Luis Potosí,,"1,775,249",,"844,201",,"931,048"
Sinaloa,,"1,791,494",,"862,006",,"929,488"
Sonora,,"1,801,249",,"864,207",,"937,042"
Tabasco,,"1,574,183",,"740,872",,"833,311"
Tamaulipas,,"2,151,821",,"1,029,079",,"1,122,742"
Tlaxcala,,"964,798",,"452,722",,"512,076"
Veracruz de Ignacio de la Llave,,"4,988,630",,"2,351,008",,"2,637,622"
Yucatán,,"1,367,096",,"666,938",,"700,158"
Zacatecas,,"1,072,701",,"519,122",,"553,579"
,,,,,,
,,,,,,
"Las estimaciones que aparecen en este cuadro están coloreadas de acuerdo con su nivel de precisión, en Alta, Moderada y Baja, tomando como referencia el coeficiente de variación CV (%). Una precisión Baja requiere un uso cauteloso de la estimación en el que se analicen las causas de la alta variabilidad y se consideren otros indicadores de precisión y confiabilidad, como el intervalo de confianza.",,,,,,
Nivel de precisión de las estimaciones:,,,,,,
"Alta, CV en el rango de (0,15)",,,,,,
"Moderada, CV en el rango de [15, 30)",,,,,,
"Baja, CV de 30% en adelante",,,,,,
