INEGI. Encuesta Nacional de Trabajo Infantil (ENTI) 2022. Tabulados básicos. 2023.,,,,,,,,,,,
,,,,,,,,,,,
"Población de 5 a 17 años por entidad federativa, ",,,,,,,,,,,Cuadro 4.6
según condición de ocupación,,,,,,,,,,,
,,,,,,,,,,,
Trimestre:  Octubre-Diciembre 2022,,,,,,,,,,,
Entidad federativa,"Población de 
5 a 17 años",,,,Condición de ocupación,,,,,,
,,,Ocupados,,,,,,,,No ocupados
,,,Ocupados,,En ocupación permitida1,,En ocupación no permitida2,,,,
,,,,,,,Subtotal,"Abajo de la 
edad mínima",En ocupación peligrosa,,
,,,,,,,,,,,
Nacional,"28,413,429",,"2,333,129",,"201,158",,"2,131,971","924,176","1,207,795",,"26,080,300"
,,,,,,,,,,,
Aguascalientes,"341,688",,"25,093",,"2,228",,"22,865","8,844","14,021",,"316,595"
Baja California,"811,686",,"35,963",,"8,579",,"27,384","8,579","18,805",,"775,723"
Baja California Sur,"182,760",,"11,946",,"1,443",,"10,503","5,436","5,067",,"170,814"
Campeche,"209,040",,"15,648",,"1,835",,"13,813","5,749","8,064",,"193,392"
Coahuila de Zaragoza,"737,056",,"34,700",,"5,606",,"29,094","10,058","19,036",,"702,356"
Colima,"168,961",,"16,748",,"2,047",,"14,701","6,436","8,265",,"152,213"
Chiapas,"1,626,601",,"228,406",,"8,320",,"220,086","130,968","89,118",,"1,398,195"
Chihuahua,"828,812",,"50,110",,"7,589",,"42,521","17,308","25,213",,"778,702"
Ciudad de México,"1,502,521",,"46,154",,"8,537",,"37,617","14,842","22,775",,"1,456,367"
Durango,"469,020",,"38,224",,"4,089",,"34,135","16,111","18,024",,"430,796"
Guanajuato,"1,473,679",,"141,703",,"8,877",,"132,826","51,511","81,315",,"1,331,976"
Guerrero,"935,545",,"149,985",,"7,866",,"142,119","74,015","68,104",,"785,560"
Hidalgo,"699,679",,"64,448",,"5,527",,"58,921","26,646","32,275",,"635,231"
Jalisco,"1,827,107",,"175,000",,"17,192",,"157,808","59,254","98,554",,"1,652,107"
México,"3,604,200",,"204,948",,"19,626",,"185,322","71,840","113,482",,"3,399,252"
Michoacán de Ocampo,"1,183,739",,"117,557",,"8,815",,"108,742","43,604","65,138",,"1,066,182"
Morelos,"423,209",,"27,105",,"1,980",,"25,125","9,422","15,703",,"396,104"
Nayarit,"289,440",,"39,139",,"2,739",,"36,400","18,219","18,181",,"250,301"
Nuevo León,"1,210,170",,"60,795",,"9,588",,"51,207","20,798","30,409",,"1,149,375"
Oaxaca,"1,008,614",,"124,813",,"5,368",,"119,445","62,965","56,480",,"883,801"
Puebla,"1,591,527",,"176,700",,"10,475",,"166,225","75,881","90,344",,"1,414,827"
Querétaro,"525,409",,"27,964",,"6,653",,"21,311","4,893","16,418",,"497,445"
Quintana Roo,"415,562",,"20,109",,"2,182",,"17,927","6,104","11,823",,"395,453"
San Luis Potosí,"632,086",,"52,343",,"4,408",,"47,935","19,366","28,569",,"579,743"
Sinaloa,"648,827",,"40,738",,"5,408",,"35,330","10,281","25,049",,"608,089"
Sonora,"666,052",,"42,580",,"5,620",,"36,960","9,746","27,214",,"623,472"
Tabasco,"584,698",,"41,900",,"2,943",,"38,957","20,570","18,387",,"542,798"
Tamaulipas,"800,064",,"44,277",,"7,768",,"36,509","10,250","26,259",,"755,787"
Tlaxcala,"328,297",,"22,503",,"2,027",,"20,476","9,512","10,964",,"305,794"
Veracruz de Ignacio de la Llave,"1,815,611",,"165,303",,"6,967",,"158,336","58,427","99,909",,"1,650,308"
Yucatán,"471,686",,"49,367",,"5,345",,"44,022","17,709","26,313",,"422,319"
Zacatecas,"400,083",,"40,860",,"3,511",,"37,349","18,832","18,517",,"359,223"
,,,,,,,,,,,
,,,,,,,,,,,
1 Comprende a los ocupados de 15 a 17 años en ocupaciones y actividades permitidas por la Ley Federal del Trabajo (LFT).,,,,,,,,,,,
2 Comprende a los ocupados de 5 a 17 años abajo de la edad mínima o en ocupaciones y actividades peligrosas según la LFT.,,,,,,,,,,,
"Las estimaciones que aparecen en este cuadro están coloreadas de acuerdo con su nivel de precisión, en Alta, Moderada y Baja, tomando como referencia el coeficiente de variación CV (%). Una precisión Baja requiere un uso cauteloso de la estimación en el que se analicen las causas de la alta variabilidad y se consideren otros indicadores de precisión y confiabilidad, como el intervalo de confianza.",,,,,,,,,,,
Nivel de precisión de las estimaciones:,,,,,,,,,,,
"Alta, CV en el rango de (0,15)",,,,,,,,,,,
"Moderada, CV en el rango de [15, 30)",,,,,,,,,,,
"Baja, CV de 30% en adelante",,,,,,,,,,,
